[2023-03-22 17:31:35,941][__main__][INFO] - PYTHONPATH: /home/subhrangsu/contssl/continuous_ssl_problem
[2023-03-24 02:08:22,417][new_worker_lincls][INFO] - Epoch: [0][170/500]	Time  0.026 ( 0.052)	Data  0.001 ( 0.016)	Loss 2.8632e+00 (3.1405e+00)	Acc@1  19.00 (  9.37)	Acc@5  48.00 ( 38.22)
[2023-03-24 02:08:22,683][new_worker_lincls][INFO] - Epoch: [0][180/500]	Time  0.032 ( 0.051)	Data  0.001 ( 0.015)	Loss 2.8499e+00 (3.1231e+00)	Acc@1  12.00 (  9.59)	Acc@5  43.00 ( 38.65)
[2023-03-24 02:08:22,942][new_worker_lincls][INFO] - Epoch: [0][190/500]	Time  0.025 ( 0.049)	Data  0.000 ( 0.015)	Loss 2.8369e+00 (3.1075e+00)	Acc@1  15.00 (  9.86)	Acc@5  50.00 ( 39.09)
[2023-03-24 02:08:23,198][new_worker_lincls][INFO] - Epoch: [0][200/500]	Time  0.026 ( 0.048)	Data  0.001 ( 0.014)	Loss 2.7774e+00 (3.0921e+00)	Acc@1  22.00 ( 10.01)	Acc@5  47.00 ( 39.59)
[2023-03-24 02:08:23,458][new_worker_lincls][INFO] - Epoch: [0][210/500]	Time  0.026 ( 0.047)	Data  0.001 ( 0.013)	Loss 2.7804e+00 (3.0777e+00)	Acc@1  13.00 ( 10.27)	Acc@5  53.00 ( 40.04)
[2023-03-24 02:08:23,727][new_worker_lincls][INFO] - Epoch: [0][220/500]	Time  0.032 ( 0.046)	Data  0.001 ( 0.013)	Loss 2.7456e+00 (3.0646e+00)	Acc@1  20.00 ( 10.48)	Acc@5  48.00 ( 40.40)
[2023-03-24 02:08:23,986][new_worker_lincls][INFO] - Epoch: [0][230/500]	Time  0.026 ( 0.045)	Data  0.000 ( 0.012)	Loss 2.8743e+00 (3.0534e+00)	Acc@1  12.00 ( 10.65)	Acc@5  42.00 ( 40.76)
[2023-03-24 02:08:24,244][new_worker_lincls][INFO] - Epoch: [0][240/500]	Time  0.026 ( 0.044)	Data  0.001 ( 0.012)	Loss 2.8148e+00 (3.0417e+00)	Acc@1  15.00 ( 10.76)	Acc@5  50.00 ( 41.12)
[2023-03-24 02:08:24,505][new_worker_lincls][INFO] - Epoch: [0][250/500]	Time  0.026 ( 0.044)	Data  0.000 ( 0.011)	Loss 2.7149e+00 (3.0300e+00)	Acc@1  14.00 ( 10.88)	Acc@5  52.00 ( 41.51)
[2023-03-24 02:08:24,768][new_worker_lincls][INFO] - Epoch: [0][260/500]	Time  0.030 ( 0.043)	Data  0.001 ( 0.011)	Loss 2.8050e+00 (3.0195e+00)	Acc@1  16.00 ( 11.05)	Acc@5  49.00 ( 41.80)
[2023-03-24 02:08:25,030][new_worker_lincls][INFO] - Epoch: [0][270/500]	Time  0.025 ( 0.042)	Data  0.000 ( 0.011)	Loss 2.7405e+00 (3.0102e+00)	Acc@1  15.00 ( 11.18)	Acc@5  52.00 ( 42.08)
[2023-03-24 02:08:25,293][new_worker_lincls][INFO] - Epoch: [0][280/500]	Time  0.026 ( 0.042)	Data  0.001 ( 0.010)	Loss 2.6956e+00 (3.0009e+00)	Acc@1  18.00 ( 11.30)	Acc@5  50.00 ( 42.37)
[2023-03-24 02:08:25,554][new_worker_lincls][INFO] - Epoch: [0][290/500]	Time  0.026 ( 0.041)	Data  0.001 ( 0.010)	Loss 2.6864e+00 (2.9907e+00)	Acc@1  18.00 ( 11.39)	Acc@5  51.00 ( 42.78)
[2023-03-24 02:08:25,819][new_worker_lincls][INFO] - Epoch: [0][300/500]	Time  0.029 ( 0.041)	Data  0.001 ( 0.010)	Loss 2.7653e+00 (2.9824e+00)	Acc@1  13.00 ( 11.49)	Acc@5  51.00 ( 43.05)
[2023-03-24 02:08:26,081][new_worker_lincls][INFO] - Epoch: [0][310/500]	Time  0.025 ( 0.040)	Data  0.000 ( 0.009)	Loss 2.5914e+00 (2.9746e+00)	Acc@1  18.00 ( 11.63)	Acc@5  60.00 ( 43.30)
[2023-03-24 02:08:26,338][new_worker_lincls][INFO] - Epoch: [0][320/500]	Time  0.025 ( 0.040)	Data  0.001 ( 0.009)	Loss 2.6585e+00 (2.9667e+00)	Acc@1  24.00 ( 11.76)	Acc@5  52.00 ( 43.49)
[2023-03-24 02:08:26,597][new_worker_lincls][INFO] - Epoch: [0][330/500]	Time  0.026 ( 0.039)	Data  0.001 ( 0.009)	Loss 2.7508e+00 (2.9598e+00)	Acc@1  14.00 ( 11.88)	Acc@5  47.00 ( 43.67)
[2023-03-24 02:08:26,858][new_worker_lincls][INFO] - Epoch: [0][340/500]	Time  0.026 ( 0.039)	Data  0.001 ( 0.008)	Loss 2.8018e+00 (2.9522e+00)	Acc@1  10.00 ( 11.98)	Acc@5  52.00 ( 43.99)
